inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9,,inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9
2.155090806,1.453927864,1.296046781,1.337704474,1.998764312,1.903788016,1.771844792,1.11973735,1.037414901,1.16908852,,,,,,,,,,,
2.247367058,2.063881364,2.046828209,2.161370958,2.097764575,1.772838008,1.786092355,1.809054716,1.537408832,1.675579678,,,,,,,,,,,
2.668198965,1.988889708,2.011420348,2.01868895,2.290881692,2.132434984,2.100243045,1.963978226,1.854977653,2.040592387,,,,,,,,,,,
2.326622059,1.654818495,1.491623763,1.530238261,2.041272693,1.867391446,1.820317501,1.233946908,1.40276961,1.311446065,,,,,,,,,,,
2.833089966,2.197831873,2.045568732,2.028734429,2.199247508,1.762968368,1.824968426,1.880187241,1.939889067,1.977984763,,,,,,,,,,,
2.351922398,1.1143576,1.249264321,1.285399897,1.781564573,1.479528091,1.510298152,1.174042256,1.144383028,1.257468987,,,,,,,,,,,
2.193046651,0.642028013,0.642787521,0.773441211,0.932267674,1.040655861,1.147084071,1.032486642,1.109829672,1.075161993,,,,,,,,,,,
2.218308111,0.691085364,-0.001336939,0.035600874,0.92040746,1.054725884,0.808853551,0.83070005,0.77924011,0.596873705,,,,,,,,,,,
2.661701897,2.566660109,2.697349001,2.72727259,1.839374587,1.638964164,1.577573175,1.162414652,0.919064947,1.558950035,,,,,,,,,,,
1.796460656,1.366362329,1.345731538,1.492807826,1.041533656,1.166808423,1.286672646,1.313103354,1.188431791,1.38134091,,,,,,,,,,,
2.038728484,0.661767987,0.56512206,0.332531163,1.347784933,0.959056008,0.869922781,0.707767795,0.758390573,0.637555895,,,,,,,,,,,
2.882090626,2.09188532,1.71891676,1.763305161,2.70417998,2.586579021,2.644758649,2.099471805,2.282188134,2.036869014,,,,,,,,,,,
2.363050392,0.50658354,-0.013894294,0.018404303,1.717004591,0.920597321,1.128513542,0.949576336,0.857276135,0.987455325,,,,,,,,,,,
2.762179235,2.108277989,1.277381009,1.180959329,1.973137915,1.762809898,1.704963883,1.992105104,1.876804807,1.873775464,,,,,,,,,,,
1.617109532,0.884564752,0.441333521,0.478947221,0.686961758,0.646200479,0.734596203,0.355563068,0.426581277,0.61523197,,,,,,,,,,,
2.796462786,1.999813103,0.907373906,0.869450436,2.444934642,2.129087425,2.160717235,1.810186574,1.888134132,1.774275757,,,,,,,,,,,
2.551120632,2.462778147,1.695771751,1.649238108,2.056414707,1.862664093,1.794776345,1.775138988,1.462636644,1.745455065,,,,,,,,,,,
2.294991048,0.923452181,1.053142878,1.098835748,1.628585684,1.279444814,1.623354291,1.468299481,1.413327088,1.442749594,,,,,,,,,,,
1.774407183,0.615296027,0.746519906,0.524050194,0.700834795,0.868343189,0.70232101,0.679295816,0.482416219,0.673399947,,,,,,,,,,,
2.063807341,2.332130421,2.300863979,2.320729301,1.484572107,1.481789224,1.477930616,1.295804546,1.169067866,1.274304375,,,,,,,,,,,
3.037166428,0.933425613,0.776543163,0.990149618,2.512550219,2.250204245,2.217552361,1.598106578,1.432468522,1.617146833,,,,,,,,,,,
1.96933155,1.527862706,-0.225716359,-0.225096324,1.507106822,0.653179704,0.962633163,1.058383584,0.621511717,0.769655153,,,,,,,,,,,
2.445733308,1.234484369,0.244482894,0.549124324,1.308882604,1.051673409,1.131462884,0.860474176,0.704054299,1.220245772,,,,,,,,,,,
2.281444896,1.713394476,1.221410857,0.93250811,1.707289716,1.393980857,1.32319686,1.789197269,1.392773051,1.472097209,,,,,,,,,,,
