inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.558453302,0.813476854,0.523835409,0.773502297,0.543279429,0.794655767,0.567165346,0.818983725,0.043279429
0.704573335,0.893733487,0.67530177,0.908899831,0.614680816,0.898265381,0.655761491,0.893067556,0.114680816
1.007313038,0.818496177,0.91657473,0.790213724,0.857043739,0.795296498,1.074867853,0.801668373,0.357043739
0.757255939,0.756738391,0.292887234,0.632532031,0.747028416,0.759270047,0.731473177,0.747365762,0.247028416
1.030776022,0.965056832,0.716955386,0.89485737,0.768611842,0.949993174,1.009997068,0.971365398,0.268611842
0.505808284,0.698990413,0.531682556,0.692703532,0.420012678,0.660940617,0.448483791,0.703208043,0.079987322
1.048200132,0.861783606,0.975323828,0.857440064,0.662723724,0.78319012,1.014552059,0.85971192,0.162723724
0.983963039,0.83592796,0.780326385,0.781969968,1.039328635,0.839546684,0.958534919,0.819984467,0.539328635
0.912950143,1.068889971,0.687747645,0.981774424,0.816224425,1.012733054,0.891774632,1.050092173,0.316224425
0.623934177,0.838485448,0.411658326,0.811447594,0.480350255,0.818472376,0.638936513,0.842155254,0.019649745
0.714025689,0.789110824,0.603725064,0.78085347,0.548974979,0.756668998,0.671686946,0.812591736,0.048974979
1.139232329,0.755385779,0.901819237,0.674240878,0.787950796,0.675952494,1.225281981,0.768089498,0.287950796
0.569604309,0.69666105,0.408646336,0.673278872,0.319213026,0.652122575,0.561440576,0.675031988,0.180786974
0.927950028,0.762342628,0.421381755,0.620986647,0.530270698,0.650221203,0.933392145,0.761881856,0.030270698
0.79273423,0.758713466,0.752242701,0.772988944,0.761793972,0.762275016,0.693819915,0.764898525,0.261793972
0.887344891,0.822897707,0.792708187,0.750876811,0.881645941,0.819336532,0.872450866,0.808230904,0.381645941
0.666425581,0.77104548,0.457800646,0.684134311,0.310494677,0.673483473,0.707543193,0.767310022,0.189505323
0.711813917,0.7032213,0.591959369,0.644101309,0.547762421,0.652021617,0.699723692,0.707040934,0.047762421
0.546603978,0.917108227,0.38036654,0.852017756,0.450095527,0.900272861,0.589694335,0.937180474,0.049904473
