inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs2
0.639108043,1.023965166,0.474899191,0.990597947,0.533474989,1.018183385,0.657634854,1.020733608,0.033474989
0.388992305,0.852193893,0.165797066,0.79388888,0.245145519,0.812820122,0.327587242,0.905682482,0.254854481
0.885939356,0.728213834,0.705237196,0.698347117,0.763821634,0.684449638,0.84006163,0.752209611,0.263821634
0.705822421,0.895467427,0.54268797,0.835063771,0.511706856,0.826952215,0.638018655,0.894445043,0.011706856
0.692643775,0.862145266,0.484243734,0.804831406,0.59924987,0.807428521,0.697747152,0.827843438,0.09924987
0.825834533,0.861382721,0.524615171,0.781216609,0.602741867,0.80613851,0.814303549,0.825612512,0.102741867
0.799826653,0.797061352,0.621218771,0.668160218,0.640917621,0.697833605,0.800055143,0.780098014,0.140917621
0.661352177,0.834613052,0.60462838,0.731699551,0.504052319,0.743669826,0.635957923,0.777323737,0.004052319
0.529780644,0.840581038,0.516760126,0.79247779,0.225999019,0.74307058,0.540372632,0.826351871,0.274000981
0.66788242,0.785181497,0.513750236,0.71687914,0.547053713,0.714180293,0.705065678,0.766652231,0.047053713
0.988305549,0.746292804,0.917470895,0.72691314,0.779876432,0.659078299,0.981800514,0.7493841,0.279876432
0.844183967,0.722778736,0.85928029,0.724775288,0.671362257,0.681505677,0.814638978,0.73143565,0.171362257
0.86516723,0.740882167,0.840807802,0.74661087,0.610221832,0.659353894,0.828592557,0.735674491,0.110221832
0.975401567,0.830936164,0.716578768,0.714217909,0.971144937,0.827839187,0.979264753,0.848910259,0.471144937
0.526000915,0.842857908,0.069245395,0.738116105,0.173906438,0.784718955,0.514376402,0.821325678,0.326093562
0.707743266,0.85944204,0.488185856,0.826479503,0.435050386,0.797933519,0.72900984,0.829107966,0.064949614
0.848368383,0.813797543,0.636672878,0.739186145,0.469350884,0.6959794,0.833354759,0.835816254,0.030649116
0.597107106,0.762167468,0.680048029,0.775106819,0.653962462,0.74990613,0.610956871,0.761608887,0.153962462
0.915784159,0.624178064,0.704671465,0.562132153,0.558148616,0.542518988,0.889886897,0.609927762,0.058148616
0.795029856,0.866283537,0.684888598,0.821363284,0.740293741,0.891653301,0.785806652,0.859344988,0.240293741
0.636528364,0.853953818,0.55659,0.84583441,0.614703887,0.839641598,0.640607582,0.85826042,0.114703887
0.645818035,0.721514872,0.565714174,0.702449397,0.526629575,0.686158424,0.663147918,0.725718477,0.026629575
0.738478461,0.89342119,0.668470755,0.862151903,0.628093667,0.93516856,0.781274382,0.859510921,0.128093667
1.028737199,0.787890218,0.822458963,0.715252971,0.788965688,0.722926175,1.055092703,0.781999634,0.288965688
1.002730884,0.966805904,0.918411532,0.929161561,0.944922395,0.952619016,1.000738971,0.979300516,0.444922395
0.778612346,0.781105792,0.579624103,0.640901417,0.548800959,0.631926344,0.784171303,0.764024898,0.048800959
0.960003722,0.839920821,0.833700666,0.793825116,0.786179978,0.757122857,0.948599125,0.843618423,0.286179978
0.851186257,0.819896363,0.526464841,0.698238507,0.638073871,0.726691227,0.852779661,0.825243149,0.138073871
