inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs2,abs1
0.607684384,0.907506863,0.625878618,0.92576761,0.649430165,0.888158817,0.616495223,0.913307493,0.149430165,0.125878618
0.589791269,0.815410089,0.527905237,0.764780909,0.53780457,0.764381357,0.549485058,0.749639929,0.03780457,0.027905237
0.62442133,1.01530616,0.605497234,1.010115489,0.626317402,1.015980829,0.640087443,1.042413455,0.126317402,0.105497234
0.641661781,0.92359294,0.641448782,0.812629327,0.594921237,0.876589705,0.641309773,0.922428794,0.094921237,0.141448782
0.587518399,0.964434532,0.571833823,1.012656801,0.567358818,0.965600653,0.582171327,0.97124804,0.067358818,0.071833823
0.503950142,0.878089481,0.510839258,0.899430074,0.514997315,0.88577668,0.489696033,0.942114766,0.014997315,0.010839258
0.504298955,0.793489187,0.463835432,0.768959598,0.503655001,0.789875996,0.498678984,0.822698162,0.003655001,0.036164568
0.5209894,0.923865789,0.494914711,0.886513272,0.547744467,0.918519775,0.539884585,0.911928606,0.047744467,0.005085289
0.59860768,0.879478016,0.498197734,0.797282651,0.536652739,0.829246404,0.60336896,0.883336888,0.036652739,0.001802266
0.592113893,0.784665357,0.58698274,0.726596989,0.574567986,0.772725266,0.585467842,0.789582158,0.074567986,0.08698274
0.568102595,0.758346373,0.500746838,0.754868666,0.578686679,0.764532234,0.572724837,0.823351459,0.078686679,0.000746838
0.76607953,0.736047256,0.670927584,0.645676827,0.746408679,0.732802051,0.771282605,0.744920991,0.246408679,0.170927584
0.61764278,0.926159981,0.639122923,0.907845428,0.627547227,0.90031321,0.612994943,0.911950257,0.127547227,0.139122923
0.524827835,0.893726165,0.482234676,0.860494837,0.510592364,0.853777429,0.532640464,0.918475458,0.010592364,0.017765324
0.410892948,1.072743042,0.439535527,1.109434921,0.409103924,1.085137268,0.405138288,1.075825729,0.090896076,0.060464473
0.368804823,0.864014746,0.378392752,0.835134072,0.38005404,0.837915244,0.357431209,0.91481707,0.11994596,0.121607248
0.419263292,0.735497252,0.385045934,0.702604379,0.419418646,0.695832374,0.410735807,0.767256085,0.080581354,0.114954066
0.619262645,0.882893803,0.628087694,0.864120987,0.59819612,0.862268536,0.610145158,0.875921228,0.09819612,0.128087694
0.594204777,0.860165059,0.591108578,0.899115135,0.590127727,0.83220959,0.564365904,0.836022162,0.090127727,0.091108578
0.540557775,0.899607547,0.54741796,0.918498383,0.5457166,0.885507696,0.531637027,0.860498176,0.0457166,0.04741796
0.603069391,0.81634127,0.60940111,0.839892084,0.582869007,0.781948501,0.56895701,0.800630798,0.082869007,0.10940111
0.570901894,0.839039928,0.546784037,0.794920089,0.54729236,0.805423064,0.576914342,0.778715403,0.04729236,0.046784037
0.429370475,0.840209902,0.376221118,0.79221058,0.511393299,0.858484011,0.43033896,0.829130566,0.011393299,0.123778882
0.550135956,0.784740008,0.572029706,0.766425132,0.535512264,0.745541418,0.549832959,0.769536205,0.035512264,0.072029706
0.560041431,0.786658852,0.511578109,0.729424021,0.551298464,0.751150444,0.57767961,0.78553125,0.051298464,0.011578109
0.552030633,0.738375695,0.496532588,0.676214628,0.51873149,0.651435094,0.542807485,0.74917873,0.01873149,0.003467412
0.591997715,0.78253938,0.621453654,0.716519066,0.623495908,0.807834615,0.588799416,0.769870934,0.123495908,0.121453654
0.481549769,0.865548477,0.446779238,0.844292203,0.459624192,0.824159946,0.476166704,0.890326809,0.040375808,0.053220762
0.655013945,0.837351825,0.571520585,0.770319541,0.605101959,0.821090978,0.644876306,0.815671188,0.105101959,0.071520585
0.532058503,0.875638076,0.586141827,0.876191838,0.632478266,0.89559539,0.518165655,0.857389874,0.132478266,0.086141827
0.62127827,0.863576726,0.570127617,0.871244617,0.606141849,0.849121657,0.632620277,0.879283509,0.106141849,0.070127617
0.536904518,0.746790926,0.578135068,0.758353139,0.560770507,0.723610074,0.542608973,0.743765337,0.060770507,0.078135068
0.652966701,0.66491119,0.659218087,0.68435569,0.67739871,0.652243233,0.64419377,0.646837213,0.17739871,0.159218087
0.636739774,0.876501873,0.528813909,0.829702802,0.689983843,0.928637453,0.638530498,0.870936474,0.189983843,0.028813909
0.41266438,0.873937972,0.380866941,0.867366596,0.431562408,0.874718655,0.39993048,0.874870695,0.068437592,0.119133059
0.457010239,0.755673351,0.442898673,0.729330947,0.46388371,0.736543499,0.457899193,0.761889987,0.03611629,0.057101327
0.650800094,0.884840247,0.728462544,0.867977722,0.669272249,0.8758935,0.642102458,0.859898943,0.169272249,0.228462544
0.593996535,0.827101275,0.559439862,0.761878766,0.550236889,0.755428994,0.59708851,0.825050995,0.050236889,0.059439862
0.650338168,1.025665246,0.651590789,1.027458447,0.649694259,1.029213183,0.650178583,1.042869246,0.149694259,0.151590789
0.711518521,0.777080489,0.750508392,0.803920881,0.696900705,0.73101446,0.717740927,0.763229032,0.196900705,0.250508392
0.679383157,0.853386733,0.681231695,0.852657359,0.689133857,0.866396448,0.692298724,0.856371717,0.189133857,0.181231695
0.589695554,0.838706202,0.57880219,0.82065431,0.496059156,0.716298289,0.589416496,0.84339265,0.003940844,0.07880219
