inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.752585806,0.853249527,0.668125051,0.790685559,0.734417723,0.808635087,0.716862624,0.881865203,0.234417723
0.694492145,1.022890153,0.584744666,1.005958284,0.628933942,1.026120822,0.699071534,1.010316598,0.128933942
0.633009364,0.919558016,0.618793387,0.821436144,0.565310286,0.849420055,0.665752467,0.888567344,0.065310286
0.526989941,0.961324194,0.294382143,0.946460399,0.251570979,0.871958075,0.486555718,0.970309181,0.248429021
0.562588047,0.845343129,0.597271193,0.827327685,0.511420493,0.760261144,0.546465705,0.864529516,0.011420493
0.425419727,0.760465187,0.431288405,0.729201175,0.424712621,0.762172433,0.417029548,0.778357448,0.075287379
0.748955836,0.930582329,0.702942551,0.91789893,0.73686661,0.92277879,0.790901196,0.97289018,0.23686661
0.608231378,0.845354419,0.452510328,0.784907904,0.479620891,0.77756703,0.601162939,0.837469074,0.020379109
0.956831041,0.772345462,0.894760639,0.771054256,0.93577287,0.766692306,0.920378123,0.805909677,0.43577287
0.806667218,0.77405161,0.691430721,0.709815561,0.773200672,0.805127178,0.861100611,0.769279728,0.273200672
0.563286013,0.769378698,0.460067722,0.722567448,0.462407974,0.733698459,0.557249818,0.774135833,0.037592026
0.723466686,0.712163701,0.713510598,0.713386938,0.719011823,0.725888114,0.750889561,0.728550855,0.219011823
0.628392899,0.937977355,0.583748721,0.914184742,0.591760238,0.904234915,0.622838689,0.946786162,0.091760238
0.820157619,0.874001911,0.678177051,0.788793124,0.744947222,0.842347467,0.801718792,0.841217432,0.244947222
0.715456265,0.904955846,0.633205298,0.873107157,0.640990439,0.852685523,0.731125381,0.910516675,0.140990439
0.810507108,0.732860609,0.795218719,0.774614086,0.676808505,0.66402138,0.793992733,0.67886989,0.176808505
0.746078762,1.01966215,0.705650942,1.00180497,0.792546843,1.069495387,0.76679113,1.042646115,0.292546843
0.718867894,0.901841123,0.636811726,0.857422855,0.562947251,0.773543404,0.712175257,0.901150572,0.062947251
0.896440857,0.872730441,0.85728469,0.876819586,0.859800413,0.860028239,0.920694966,0.874637005,0.359800413
0.575011849,0.876214991,0.435318514,0.80494661,0.492092916,0.857554169,0.576605456,0.936097386,0.007907084
0.516003865,0.792192297,0.501352166,0.81741117,0.498351793,0.775503257,0.534302877,0.820048292,0.001648207
0.688570095,0.924914685,0.364401786,0.78833454,0.449770894,0.788043786,0.674749885,0.913859706,0.050229106
0.853612891,0.900228615,0.660945529,0.798077227,0.725521977,0.815999905,0.85391626,0.901796456,0.225521977
0.917741295,0.774395234,0.833901412,0.740542897,0.791998012,0.700446194,0.967240775,0.785208877,0.291998012
