inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9,,inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9
2.053030078,1.457342483,1.426519601,1.265435035,1.660175423,1.5168267,1.434558037,1.422551196,1.404742916,1.426112686,,,,,,,,,,,
1.699015957,0.939377706,1.369465922,1.280515871,1.545370248,1.650045584,1.632296775,0.769882962,0.799929876,0.788837984,,,,,,,,,,,
2.069456575,1.471257429,2.366329903,1.664002335,1.490927994,1.446863729,1.32583367,1.325035726,1.347242997,1.337557587,,,,,,,,,,,
1.587160099,1.264236043,1.469310923,1.503559719,1.081794654,0.799781303,0.719621693,0.842926065,0.813364807,0.514483016,,,,,,,,,,,
2.105229622,1.948151812,1.568463283,1.641229306,2.017610397,1.806476716,1.791260555,0.998785423,0.859843152,1.183685006,,,,,,,,,,,
1.671010751,1.461196977,1.559806789,1.554596659,1.422515521,1.42234734,1.39359958,1.465699297,1.34277735,1.50147994,,,,,,,,,,,
1.448341108,0.75908633,0.507273348,0.603730329,1.234392957,1.037017043,1.122421357,0.748226819,0.767972756,0.695030068,,,,,,,,,,,
2.604842849,2.20993744,2.033612116,2.001726595,2.553568059,2.448204472,2.471587068,1.972468749,2.225246372,1.972868263,,,,,,,,,,,
1.904530839,1.308741486,1.724937315,1.667865659,1.555454062,1.650558767,1.64694988,0.984531911,0.898693692,1.148392907,,,,,,,,,,,
2.086179562,1.264306467,0.618657023,0.70759769,1.203195002,1.293159049,1.264729495,1.201508694,1.289327994,1.187832829,,,,,,,,,,,
1.444635725,1.280311661,0.35891437,0.632685089,1.332756343,1.349506441,1.146135695,0.804729061,0.886252552,0.927079075,,,,,,,,,,,
2.308492384,1.681388246,2.018394784,1.88769097,1.799176617,1.745557616,1.674476181,1.546048041,1.638453799,1.589930373,,,,,,,,,,,
2.1858982,2.060536747,1.361336614,1.50614784,1.913975786,1.666988473,1.612696453,1.37698611,1.277889161,1.368269783,,,,,,,,,,,
1.989828981,1.226468052,1.007451996,0.9969192,1.524755388,1.371821918,1.4163763,1.137653456,1.127000531,1.197286435,,,,,,,,,,,
1.416595082,0.655377458,0.545189885,0.727601915,0.75002251,0.776690715,0.801425581,0.583731964,0.546411836,0.585961946,,,,,,,,,,,
1.53585872,1.643502264,2.227373917,2.083424769,1.09357211,1.066500065,1.050719142,0.906652174,0.746907571,0.835414461,,,,,,,,,,,
2.325287221,1.683824272,0.790683236,0.971309214,1.751271823,1.418388181,1.41699545,1.205375008,1.067225158,1.161034927,,,,,,,,,,,
1.49860493,1.774821412,0.343267246,0.775083022,1.183929964,1.026958252,1.014954196,0.850801738,0.519830167,0.51255981,,,,,,,,,,,
1.708809763,0.952405072,0.044998249,0.087861219,1.431034883,1.09406719,1.314148108,0.763945797,0.539233244,0.934937117,,,,,,,,,,,
1.82829981,1.305996876,-0.050400355,-0.062351059,1.559877489,1.51608299,1.335595425,1.486253459,1.073505248,1.1208437,,,,,,,,,,,
1.828075408,0.972562259,0.645375986,0.571521685,1.746200202,1.727696799,1.799013127,0.993054577,1.071028855,0.829646539,,,,,,,,,,,
2.037682021,1.920154107,0.684300736,0.900262287,1.479983028,0.912263489,1.013882636,1.159208716,1.156830872,1.189201353,,,,,,,,,,,
2.030501679,1.838184141,2.001075843,1.900712487,2.058335373,2.191972094,2.003043217,1.626105594,1.426368303,1.49766896,,,,,,,,,,,
1.187894082,0.582740287,-0.044926048,-0.101120903,0.977964105,0.589981317,0.786797878,0.439955217,0.512071843,0.412752984,,,,,,,,,,,
1.726839453,1.502049878,1.564236888,1.475397294,1.593244971,1.576036837,1.47909749,1.32361332,1.321434166,1.340890707,,,,,,,,,,,
1.731245882,0.708329512,0.397166986,0.530463315,1.038004555,0.864811054,0.818722898,0.685490449,0.803457942,0.621162302,,,,,,,,,,,
1.708230603,1.224636793,-0.064367254,0.048830409,1.803653047,1.623009055,1.811423966,0.418272438,0.482729896,0.605931334,,,,,,,,,,,
1.500735256,0.573032482,-0.014506484,0.139915308,0.571403097,0.616272199,0.674168475,0.425446319,0.787693019,0.432334896,,,,,,,,,,,
1.198267918,0.393500527,-0.766315617,-0.678805108,0.847296117,0.552472501,0.567378222,0.660136105,0.874087132,0.672698617,,,,,,,,,,,
1.121511101,-0.167991388,-1.554284065,-1.434075574,1.096456197,1.135712465,1.14987617,0.867607122,0.853036055,0.949389691,,,,,,,,,,,
1.64453431,1.499857856,1.163580877,1.095246329,1.726634033,1.548882246,1.449544074,0.923944672,0.909226028,0.868966846,,,,,,,,,,,
1.595594146,0.331613955,0.673007931,0.536759149,0.929416396,1.140623866,0.949629951,0.833525519,0.849032882,0.726548892,,,,,,,,,,,
2.154377967,1.8687877,1.535872558,1.452933661,1.895094208,1.599348238,1.576177017,1.578969474,1.172538447,1.588511713,,,,,,,,,,,
1.81898269,0.908950591,1.21110556,1.236417001,1.3483855,1.420968848,1.451870702,0.852885672,0.811365163,0.96409902,,,,,,,,,,,
