inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs0,abs1,abs2,abs3
0.885939356,0.728213834,0.705237196,0.698347117,0.763561147,0.673406821,0.84006163,0.752209611,0.385939356,0.205237196,0.263561147,0.34006163
0.705822421,0.895467427,0.54268797,0.835063771,0.501516457,0.82923778,0.638018655,0.894445043,0.205822421,0.04268797,0.001516457,0.138018655
0.692643775,0.862145266,0.484243734,0.804831406,0.361706451,0.813794064,0.697747152,0.827843438,0.192643775,0.015756266,0.138293549,0.197747152
0.825834533,0.861382721,0.524615171,0.781216609,0.581973907,0.80525738,0.814303549,0.825612512,0.325834533,0.024615171,0.081973907,0.314303549
0.799826653,0.797061352,0.621218771,0.668160218,0.726059738,0.746212786,0.800055143,0.780098014,0.299826653,0.121218771,0.226059738,0.300055143
0.661352177,0.834613052,0.60462838,0.731699551,0.610061746,0.792337073,0.635957923,0.777323737,0.161352177,0.10462838,0.110061746,0.135957923
0.529780644,0.840581038,0.516760126,0.79247779,0.211621278,0.730890831,0.540372632,0.826351871,0.029780644,0.016760126,0.288378722,0.040372632
0.66788242,0.785181497,0.513750236,0.71687914,0.671720979,0.759602921,0.705065678,0.766652231,0.16788242,0.013750236,0.171720979,0.205065678
0.988305549,0.746292804,0.917470895,0.72691314,0.756361185,0.679896127,0.981800514,0.7493841,0.488305549,0.417470895,0.256361185,0.481800514
0.844183967,0.722778736,0.85928029,0.724775288,0.826902067,0.734564899,0.814638978,0.73143565,0.344183967,0.35928029,0.326902067,0.314638978
0.86516723,0.740882167,0.840807802,0.74661087,0.690447619,0.668938321,0.828592557,0.735674491,0.36516723,0.340807802,0.190447619,0.328592557
0.975401567,0.830936164,0.716578768,0.714217909,0.975401567,0.830936164,0.979264753,0.848910259,0.475401567,0.216578768,0.475401567,0.479264753
0.526000915,0.842857908,0.069245395,0.738116105,0.180187059,0.787759814,0.514376402,0.821325678,0.026000915,0.430754605,0.319812941,0.014376402
0.707743266,0.85944204,0.488185856,0.826479503,0.510827001,0.844527358,0.72900984,0.829107966,0.207743266,0.011814144,0.010827001,0.22900984
0.848368383,0.813797543,0.636672878,0.739186145,0.551205299,0.739579651,0.833354759,0.835816254,0.348368383,0.136672878,0.051205299,0.333354759
0.597107106,0.762167468,0.680048029,0.775106819,0.698131611,0.755062684,0.610956871,0.761608887,0.097107106,0.180048029,0.198131611,0.110956871
0.915784159,0.624178064,0.704671465,0.562132153,0.509167133,0.563761578,0.889886897,0.609927762,0.415784159,0.204671465,0.009167133,0.389886897
0.795029856,0.866283537,0.684888598,0.821363284,0.747774873,0.869372995,0.785806652,0.859344988,0.295029856,0.184888598,0.247774873,0.285806652
0.636528364,0.853953818,0.55659,0.84583441,0.453316076,0.795916054,0.640607582,0.85826042,0.136528364,0.05659,0.046683924,0.140607582
0.645818035,0.721514872,0.565714174,0.702449397,0.55726906,0.70495944,0.663147918,0.725718477,0.145818035,0.065714174,0.05726906,0.163147918
