inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.709642594,0.894762883,0.534182928,0.892219481,0.572286718,0.845130083,0.69978659,0.895556239,0.072286718
0.928954493,0.876168646,0.967606936,0.87017339,0.853497237,0.85538002,0.94314927,0.88321719,0.353497237
0.62006623,0.879762611,0.386378998,0.751256935,0.38699692,0.797544761,0.633063481,0.940184475,0.11300308
0.721393656,0.774826216,0.665818316,0.764905922,0.715672377,0.810310648,0.712849943,0.803786422,0.215672377
0.698700705,0.918860512,0.366664075,0.832372895,0.418426333,0.771629319,0.666057705,0.909033493,0.081573667
0.7849985,0.888212738,0.581181543,0.806999881,0.559129813,0.821830263,0.776488162,0.889619281,0.059129813
0.920366261,0.777704715,0.795587789,0.709125541,0.889143948,0.75275618,0.930932633,0.785003271,0.389143948
0.998405715,0.674928951,0.924217499,0.674990019,0.832177672,0.635674738,0.972816553,0.742038169,0.332177672
1.103764893,0.710055865,0.681965122,0.569663017,0.764637393,0.610963164,1.133593379,0.719509554,0.264637393
0.609299352,0.914241894,0.415941842,0.824891684,0.325349496,0.8060221,0.643787212,0.894501817,0.174650504
0.782364221,0.869071516,0.567595433,0.794925631,0.533270228,0.794098605,0.771410948,0.891615707,0.033270228
0.639108043,1.023965166,0.474899191,0.990597947,0.555813489,1.025205416,0.657634854,1.020733608,0.055813489
0.388992305,0.852193893,0.165797066,0.79388888,0.233911365,0.824030082,0.327587242,0.905682482,0.266088635
0.885939356,0.728213834,0.705237196,0.698347117,0.804439428,0.702269456,0.84006163,0.752209611,0.304439428
0.705822421,0.895467427,0.54268797,0.835063771,0.504225092,0.835996391,0.638018655,0.894445043,0.004225092
0.692643775,0.862145266,0.484243734,0.804831406,0.610852335,0.861070332,0.697747152,0.827843438,0.110852335
0.825834533,0.861382721,0.524615171,0.781216609,0.598839335,0.806549182,0.814303549,0.825612512,0.098839335
0.799826653,0.797061352,0.621218771,0.668160218,0.588163353,0.650184366,0.800055143,0.780098014,0.088163353
0.661352177,0.834613052,0.60462838,0.731699551,0.539933168,0.755370065,0.635957923,0.777323737,0.039933168
0.529780644,0.840581038,0.516760126,0.79247779,0.246377736,0.744789309,0.540372632,0.826351871,0.253622264
0.66788242,0.785181497,0.513750236,0.71687914,0.439214422,0.694801516,0.705065678,0.766652231,0.060785578
0.988305549,0.746292804,0.917470895,0.72691314,0.768773254,0.665997976,0.981800514,0.7493841,0.268773254
0.844183967,0.722778736,0.85928029,0.724775288,0.667853979,0.684066547,0.814638978,0.73143565,0.167853979
0.86516723,0.740882167,0.840807802,0.74661087,0.686786131,0.67384994,0.828592557,0.735674491,0.186786131
0.975401567,0.830936164,0.716578768,0.714217909,0.975401567,0.830936164,0.979264753,0.848910259,0.475401567
0.526000915,0.842857908,0.069245395,0.738116105,0.171825064,0.785362924,0.514376402,0.821325678,0.328174936
0.707743266,0.85944204,0.488185856,0.826479503,0.696519619,0.885905081,0.72900984,0.829107966,0.196519619
0.848368383,0.813797543,0.636672878,0.739186145,0.583549947,0.724719814,0.833354759,0.835816254,0.083549947
0.597107106,0.762167468,0.680048029,0.775106819,0.561133551,0.682959245,0.610956871,0.761608887,0.061133551
0.915784159,0.624178064,0.704671465,0.562132153,0.459878351,0.543109232,0.889886897,0.609927762,0.040121649
0.795029856,0.866283537,0.684888598,0.821363284,0.748359019,0.880361615,0.785806652,0.859344988,0.248359019
0.636528364,0.853953818,0.55659,0.84583441,0.576407235,0.829251705,0.640607582,0.85826042,0.076407235
0.645818035,0.721514872,0.565714174,0.702449397,0.536173848,0.696327354,0.663147918,0.725718477,0.036173848
0.738478461,0.89342119,0.668470755,0.862151903,0.609709924,0.846341177,0.781274382,0.859510921,0.109709924
1.028737199,0.787890218,0.822458963,0.715252971,0.771232337,0.730894886,1.055092703,0.781999634,0.271232337
1.002730884,0.966805904,0.918411532,0.929161561,0.89926228,0.934523091,1.000738971,0.979300516,0.39926228
0.778612346,0.781105792,0.579624103,0.640901417,0.552259284,0.640147645,0.784171303,0.764024898,0.052259284
0.960003722,0.839920821,0.833700666,0.793825116,0.823518966,0.797736558,0.948599125,0.843618423,0.323518966
