inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs0,abs1,abs2,abs3
0.554781085,0.671949371,0.515762953,0.667199852,0.475700069,0.633499634,0.533492841,0.699115564,0.054781085,0.015762953,0.024299931,0.033492841
0.574442998,0.653510324,0.579083941,0.66349876,0.534292531,0.629519165,0.585039568,0.650155097,0.074442998,0.079083941,0.034292531,0.085039568
0.396013446,0.649884703,0.436591504,0.643588959,0.447816125,0.614518615,0.424789116,0.622412246,0.103986554,0.063408496,0.052183875,0.075210884
0.73259194,0.610822496,0.729088751,0.604752605,0.720964428,0.600947631,0.723873043,0.589390481,0.23259194,0.229088751,0.220964428,0.223873043
0.321010315,0.822807347,0.291729733,0.845462114,0.278050552,0.846799948,0.356268592,0.833618616,0.178989685,0.208270267,0.221949448,0.143731408
0.406856718,0.772642101,0.452618423,0.759208229,0.447561831,0.744414535,0.421835994,0.785844208,0.093143282,0.047381577,0.052438169,0.078164006
0.485761426,0.899287372,0.471649736,0.936970858,0.486988348,0.939110438,0.560754164,0.858477073,0.014238574,0.028350264,0.013011652,0.060754164
0.337378658,0.619402313,0.369168667,0.587629988,0.327559163,0.618040746,0.31529186,0.64129589,0.162621342,0.130831333,0.172440837,0.18470814
0.441487165,0.829786073,0.374026458,0.873108535,0.409852488,0.83432767,0.434358918,0.823393478,0.058512835,0.125973542,0.090147512,0.065641082
0.467991423,0.767805451,0.529323585,0.771768194,0.484848994,0.784246062,0.472296714,0.752151511,0.032008577,0.029323585,0.015151006,0.027703286
0.50850473,0.601978881,0.492418866,0.586895278,0.507175238,0.589433353,0.499362653,0.608700786,0.00850473,0.007581134,0.007175238,0.000637347
0.449503533,0.835994511,0.471780442,0.834908432,0.459906327,0.821657734,0.454112409,0.834479304,0.050496467,0.028219558,0.040093673,0.045887591
0.496563223,0.685127676,0.602629703,0.721922233,0.569754648,0.725887838,0.473465723,0.651839258,0.003436777,0.102629703,0.069754648,0.026534277
