inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.912950143,1.068889971,0.775265079,0.994494798,0.697390467,0.964452042,0.963529409,1.060761996,0.197390467
0.623934177,0.838485448,0.427135775,0.805083607,0.352181216,0.795787771,0.681580785,0.818662292,0.147818784
0.714025689,0.789110824,0.405561466,0.720934178,0.516699576,0.746573082,0.737348251,0.782597272,0.016699576
1.139232329,0.755385779,0.778874852,0.672130858,0.831715715,0.722497733,1.197398247,0.742772259,0.331715715
0.569604309,0.69666105,0.342674748,0.624211727,0.367914573,0.649608466,0.544001481,0.701550165,0.132085427
0.927950028,0.762342628,0.516506153,0.643357852,0.496977977,0.640697733,0.954589429,0.776943029,0.003022023
0.79273423,0.758713466,0.594908685,0.710183455,0.600639951,0.703455639,0.781555342,0.794393155,0.100639951
0.887344891,0.822897707,0.637058366,0.714866158,0.465418166,0.656646554,0.907248814,0.821159168,0.034581834
0.666425581,0.77104548,0.179482395,0.642745627,0.17868971,0.636684024,0.726649199,0.761226725,0.32131029
0.711813917,0.7032213,0.466797474,0.641953861,0.423751149,0.648496489,0.714184261,0.674109027,0.076248851
0.546603978,0.917108227,0.298096153,0.811834846,0.283211908,0.81649177,0.562342544,0.921074253,0.216788092
0.943943249,0.838628161,0.856094269,0.800335235,0.760509684,0.766129954,0.942204134,0.849299967,0.260509684
0.745565924,1.02121089,0.399729619,0.940781274,0.406652542,0.940218985,0.779118595,0.985046154,0.093347458
0.857102721,0.943051936,0.50619228,0.716325506,0.536831563,0.689718052,0.842392726,0.92505275,0.036831563
0.675369937,0.948175483,0.323094921,0.863273997,0.352172904,0.861864026,0.692933943,0.94687291,0.147827096
0.608295159,0.84780816,0.627389918,0.830068023,0.366228878,0.712050718,0.638426373,0.837044601,0.133771122
0.5623581,0.741530379,0.335131644,0.682830615,0.391291573,0.662672858,0.5291601,0.752229449,0.108708427
0.751579418,0.927556139,0.606250299,0.882940476,0.56929905,0.87457088,0.73352124,0.921252884,0.06929905
0.651542021,0.834956942,0.449845888,0.782300285,0.392473754,0.770770878,0.605390086,0.802346928,0.107526246
1.023612382,0.821536792,0.941481353,0.808840048,0.95468048,0.806428079,1.077281859,0.834825338,0.45468048
0.730682343,0.763443453,0.697177978,0.727372435,0.704774876,0.749602676,0.736518846,0.783037395,0.204774876
0.698500899,0.760942479,0.584673764,0.717397568,0.685663649,0.758434218,0.69349539,0.766951684,0.185663649
0.730126224,0.730714502,0.625699264,0.688053195,0.768281572,0.723865291,0.750307537,0.735418646,0.268281572
0.875351103,0.909361347,0.830576815,0.886115568,0.735030836,0.84671032,0.865368252,0.925471025,0.235030836
1.036607324,0.858423419,0.877461983,0.812041526,0.81988943,0.789946973,1.014961813,0.875536234,0.31988943
0.965533511,0.868518295,0.749351181,0.814406975,0.867524649,0.832177719,1.031631043,0.915424858,0.367524649
0.843616166,0.719047913,0.366410405,0.505835947,0.226760339,0.488490406,0.865459146,0.699683515,0.273239661
1.01066314,0.984042433,0.888527121,0.92849558,0.796111092,0.897023764,1.004752477,0.977097474,0.296111092
0.700387815,0.896001392,0.431745065,0.819464183,0.231829857,0.790046922,0.751147111,0.882592785,0.268170143
1.012881184,0.881530547,1.058878018,0.89529012,0.907766058,0.8599987,0.979468688,0.870731538,0.407766058
